8.59764,45.69650,PHOTORED
8.59816,44.89662,T-RED
8.59900,44.61829,PHOTORED RH FTR
8.60149,44.61846,ROSSOSTOP RH@50
8.62258,44.83555,ROSSOSTOP
8.62313,44.93756,T-RED
8.62615,44.91118,VISTARED
8.63079,44.90989,ROSSOSTOP
8.63289,39.72455,PHOTORED
8.63811,39.72399,PHOTORED
8.63847,45.71288,ROSSOSTOP
8.66473,45.89536,T-RED
8.66546,45.89549,T-RED
8.66731,45.11855,PHOTORED
8.66824,45.84056,PHOTORED
8.66847,45.20056,ROSSOSTOP@50
8.66867,45.84135,PHOTORED
8.66913,45.34913,PHOTORED
8.66924,45.34950,PHOTORED
8.67450,45.87461,PHOTORED
8.68069,44.84103,ROSSOSTOP RH
8.68952,44.87815,ROSSOSTOP
8.69823,44.91527,VISTARED
8.70222,44.86655,ROSSOSTOP
8.70609,45.29404,PHOTORED
8.71789,44.85217,VISTARED
8.72234,44.88546,ROSSOSTOP@70
8.73919,45.67608,PHOTORED
8.74481,39.45705,PHOTORED
8.74505,45.30565,PHOTORED
8.74534,44.82693,ROSSOSTOP
8.74887,45.30997,PHOTORED
8.77548,45.54829,PHOTORED
8.77858,45.58029,PHOTORED
8.78050,45.57218,PHOTORED
8.78353,45.55605,PHOTORED
8.78574,45.55051,PHOTORED
8.78580,44.76198,PHOTORED
8.78726,44.76576,PHOTORED
8.78950,45.17084,PHOTORED
8.78972,45.17156,PHOTORED
8.79661,44.76379,PHOTORED
8.80322,44.89257,PHOTORED RH
8.80617,45.54280,PHOTORED
8.81999,45.50559,PHOTORED
8.82305,45.50582,PHOTORED
8.82310,45.45460,PHOTORED
8.82550,45.65909,PHOTORED
8.83485,45.66990,T-RED ROSSOSTOP@50
8.84138,45.46932,PHOTORED
8.84828,45.46047,PHOTORED
8.84976,45.52477,PHOTORED
8.85044,45.51069,PHOTORED
8.85205,44.42154,T-RED
8.85582,44.88930,PHOTORED@50
8.85758,45.50132,T-RED
8.85780,45.50082,T-RED
8.85936,44.72066,PHOTORED RH@50
8.85946,45.11551,ROSSOSTOP
8.86027,45.51477,PHOTORED@50
8.86036,45.86086,PHOTORED@50
8.86589,45.56635,PHOTORED@50
8.86817,45.66498,PHOTORED RH
8.87136,45.54972,PHOTORED
8.87574,45.55200,PHOTORED
